#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2025-08-08-18-14-02
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents	ip_proto
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]	count
1754657739.711288	CUKKwv48NcpnurleY3	192.168.100.143	38020	192.168.100.119	993	tcp	-	-	-	-	S0	T	T	0	S	1	44	0	0	-	6
1754657739.711479	CSnAy42MOosSl5Vrpl	192.168.100.143	38020	192.168.100.119	3306	tcp	-	-	-	-	S0	T	T	0	S	1	44	0	0	-	6
1754657739.711575	CFQRdGRCkzugBYwTj	192.168.100.143	38020	192.168.100.119	1720	tcp	-	-	-	-	S0	T	T	0	S	1	44	0	0	-	6
1754657739.711667	C6abWxpFfWZXikyhc	192.168.100.143	38020	192.168.100.119	3389	tcp	-	-	-	-	S0	T	T	0	S	1	44	0	0	-	6
1754657739.712073	C98YNC34OSmaRHrQZ8	192.168.100.143	38020	192.168.100.119	587	tcp	-	-	-	-	S0	T	T	0	S	1	44	0	0	-	6
1754657739.712172	CPCMO82UL52If4Hp3i	192.168.100.143	38020	192.168.100.119	1723	tcp	-	-	-	-	S0	T	T	0	S	1	44	0	0	-	6
1754657739.712263	CfwD122p7SbmfRjvzi	192.168.100.143	38020	192.168.100.119	23	tcp	-	-	-	-	S0	T	T	0	S	1	44	0	0	-	6
1754657739.712353	C307sE4lzNEdiZnFW3	192.168.100.143	38020	192.168.100.119	5900	tcp	-	-	-	-	S0	T	T	0	S	1	44	0	0	-	6
1754657739.712443	Cn87MA2YA7fORuDOli	192.168.100.143	38020	192.168.100.119	21	tcp	-	-	-	-	S0	T	T	0	S	1	44	0	0	-	6
1754657739.712533	CiLbGF1QZM9rK1HxM	192.168.100.143	38020	192.168.100.119	554	tcp	-	-	-	-	S0	T	T	0	S	1	44	0	0	-	6
1754657739.712622	CMbRGz1AFEwGAlfG3k	192.168.100.143	38020	192.168.100.119	53	tcp	-	-	-	-	S0	T	T	0	S	1	44	0	0	-	6
1754657739.712751	CgcJQf48PH9DUrZzCi	192.168.100.143	38020	192.168.100.119	113	tcp	-	-	-	-	S0	T	T	0	S	1	44	0	0	-	6
